Library	Quality	Initial_reads_aligned	Postfiltering_reads_aligned	Duplication_rate	Naive_coverage	Background	Reads_per_Mb	Percent_WC	Mode_GC	Mode_insert_size	Sequencing_for_0.05x_cov	Mitochondria_coverage	rDNA_coverage_5s	Average_telomere_length_kB
wt-fucci-single-c14-w44-3d6_S561_	p	99466	89628	5.00%	0.20%	7.20%	13	18.50%	43.00%	153	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w45-3d6_S562_	p	66507	60212	5.00%	0.10%	14.20%	9	16.70%	45.00%	161	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w46-3d6_S563_	p	65332	59536	4.50%	0.10%	6.30%	9	3.80%	42.00%	154	NA	0.00%	0.20%	0
wt-fucci-single-c14-w47-3d6_S564_	p	43122	39112	4.20%	0.10%	15.40%	5	19.20%	48.00%	154	>=2	0.00%	0.20%	0
wt-fucci-single-c14-w48-3d6_S565_	p	51566	46566	5.00%	0.10%	2.00%	7	12.00%	43.00%	155	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w49-3d6_S566_	d	53413	48478	4.80%	0.10%	1.40%	7	7.10%	48.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w5-3d6_S522_	p	22409	20562	3.70%	0.00%	35.90%	3	25.90%	49.00%	154	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w6-3d6_S523_	p	33972	30670	4.80%	0.10%	2.70%	4	4.20%	47.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w7-3d6_S524_	p	88682	81438	4.40%	0.20%	12.10%	12	20.70%	42.00%	155	>=2	0.00%	0.10%	0
wt-fucci-single-c14-w8-3d6_S525_	p	127938	116870	4.10%	0.30%	11.00%	17	3.40%	40.00%	159	0.42	0.00%	0.40%	0
wt-fucci-single-c14-w9-3d6_S526_	p	58575	52946	4.80%	0.10%	5.90%	8	17.20%	46.00%	153	NA	0.00%	0.10%	0
wt-fucci-single-c15-w13-3d6_S579_	p	101695	92786	7.00%	0.20%	10.20%	13	15.60%	48.00%	153	NA	0.00%	0.40%	0
wt-fucci-single-c15-w1-3d6_S567_	p	166980	152058	6.70%	0.30%	8.70%	22	6.70%	42.00%	157	>=2	0.00%	0.30%	0
wt-fucci-single-c15-w15-3d6_S581_	p	214043	193914	7.50%	0.40%	9.20%	27	22.50%	42.00%	155	1.08	0.00%	0.60%	0
wt-fucci-single-c15-w20-3d6_S586_	p	132732	122080	7.30%	0.30%	25.00%	17	19.40%	43.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w21-3d6_S587_	p	186335	170716	8.10%	0.40%	27.60%	23	37.90%	45.00%	154	>=2	0.00%	0.80%	0
wt-fucci-single-c15-w22-3d6_S588_	p	228718	207396	8.40%	0.50%	13.30%	28	25.80%	46.00%	153	>=2	0.00%	0.50%	0
wt-fucci-single-c15-w23-3d6_S589_	p	6095	5258	7.60%	0.00%	3.20%	0	4.30%	54.00%	153	NA	0.00%	0.00%	0
wt-fucci-single-c15-w2-3d6_S568_	p	258249	234286	7.70%	0.50%	22.40%	31	41.20%	43.00%	153	0.51	0.00%	0.90%	0.2819
wt-fucci-single-c15-w24-3d6_S590_	p	67590	61566	8.10%	0.10%	19.30%	8	17.20%	46.00%	161	NA	0.00%	0.00%	0
wt-fucci-single-c15-w27-3d6_S593_	p	320577	294522	8.50%	0.70%	21.50%	43	52.90%	41.00%	153	0.42	0.00%	0.60%	0
wt-fucci-single-c15-w28-3d6_S594_	p	110870	101616	7.00%	0.20%	12.70%	14	17.90%	44.00%	155	>=2	0.00%	0.00%	0
wt-fucci-single-c15-w29-3d6_S595_	p	142358	128804	6.90%	0.30%	4.00%	19	15.20%	45.00%	156	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w30-3d6_S596_	p	96558	87260	6.90%	0.20%	1.80%	13	3.40%	47.00%	153	>=2	0.00%	0.40%	0
wt-fucci-single-c15-w33-3d6_S599_	p	118434	107996	7.80%	0.20%	19.00%	14	18.80%	48.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w3-3d6_S569_	p	92552	84112	6.40%	0.20%	27.20%	11	14.30%	48.00%	153	NA	0.00%	0.20%	0
wt-fucci-single-c15-w34-3d6_S600_	p	133255	121766	7.60%	0.30%	9.50%	17	12.50%	41.00%	155	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w35-3d6_S601_	p	61192	55362	6.50%	0.10%	9.80%	8	11.50%	49.00%	155	NA	0.00%	0.10%	0
wt-fucci-single-c15-w36-3d6_S602_	p	144271	129702	7.40%	0.30%	1.80%	19	3.80%	45.00%	154	1.41	0.00%	0.10%	0
wt-fucci-single-c15-w38-3d6_S604_	p	103505	94438	7.90%	0.20%	14.00%	13	13.80%	48.00%	154	NA	0.00%	0.40%	0
wt-fucci-single-c15-w39-3d6_S605_	p	153976	140804	7.80%	0.30%	27.00%	18	21.90%	48.00%	154	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w40-3d6_S606_	p	183101	168388	8.50%	0.40%	20.40%	22	20.70%	44.00%	154	>=2	0.00%	0.30%	0
wt-fucci-single-c15-w42-3d6_S608_	p	175756	159996	7.80%	0.40%	11.30%	22	6.90%	45.00%	154	>=2	0.00%	0.20%	0.412427
wt-fucci-single-c15-w43-3d6_S609_	p	80311	72126	7.90%	0.20%	16.60%	10	13.80%	45.00%	154	NA	0.00%	0.00%	0
wt-fucci-single-c15-w4-3d6_S570_	p	52786	47802	6.20%	0.10%	4.60%	7	8.00%	47.00%	163	>=2	0.00%	0.10%	0
wt-fucci-single-c15-w44-3d6_S610_	p	39139	34342	7.40%	0.10%	31.00%	5	34.50%	41.00%	151	NA	0.00%	0.10%	0
wt-fucci-single-c15-w45-3d6_S611_	g	209325	190890	7.20%	0.40%	1.30%	29	2.90%	41.00%	151	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w46-3d6_S612_	p	142461	129984	7.10%	0.30%	17.90%	18	17.20%	47.00%	151	>=2	0.00%	0.20%	0
wt-fucci-single-c15-w47-3d6_S613_	p	140317	127578	7.20%	0.30%	23.30%	18	23.30%	44.00%	154	NA	0.00%	0.10%	0
wt-fucci-single-c15-w48-3d6_S614_	p	87943	79384	7.20%	0.20%	17.80%	11	16.70%	43.00%	152	>=2	0.00%	0.10%	0
wt-fucci-single-c15-w49-3d6_S615_	p	209152	191002	7.80%	0.40%	20.50%	26	23.30%	41.00%	153	1.4	0.00%	0.40%	0
wt-fucci-single-c15-w8-3d6_S574_	p	222347	202236	7.60%	0.50%	12.40%	28	15.60%	41.00%	159	NA	0.00%	0.20%	0
wt-fucci-single-c15-w9-3d6_S575_	p	89804	81938	6.90%	0.20%	14.40%	11	28.60%	46.00%	158	>=2	0.00%	0.10%	0
